classi,doc_id,cohesionSyn_m,hauteurPh_m,longPh_m,ageManulex_m,longMotOrtho_m,maas_lemma_i,cycle
N,se2xx01,0.358900020205746,5.95627240143369,22.505017921147,6.51282051282051,6.5475040257649,6.27509906377972,premier
N,se2xx02,0.349501081343286,6.37048832271762,24.9734607218684,6.36744186046512,5.63636363636364,5.29115663964637,premier
X,se2xx03,0.323413107376993,6.35691987513007,24.0905306971904,6.3757225433526,6.10112359550562,4.99419512806679,premier
N,se3fs02,0.41998664835831,4.78515858767205,15.7492519449431,6.31875,5.50588235294118,5.63272270950049,deuxieme
N,se3fs03,0.391418209542608,5.23235031277927,18.6514745308311,6.41455696202532,6.11111111111111,5.641529133767,deuxieme
N,se3fs04,0.391028545993223,5.52876911871814,19.2155863073562,6.50505050505051,6.37160120845921,5.62706479334497,deuxieme
N,se3fs06,0.404150943327023,5.23845193508115,17.8258426966292,6.43137254901961,6.21635883905013,5.74513154114166,deuxieme
X,se3mg03,0.271640615833117,6.31443298969072,23.5,6.58666666666667,6.27848101265823,4.12880522100781,deuxieme
X,se3mg04,0.301271301948945,7.46672077922078,34.5462662337662,6.57100591715976,6.48360655737705,5.74037422388274,deuxieme
N,se3mg05,0.364154411698285,5.59190444591904,22.9761114797611,6.47027027027027,6.04303797468354,5.79537048062636,deuxieme
N,se3mg06,0.320376081935792,6.22246220302376,24.1699064074874,6.44836956521739,6.06683804627249,5.81107511393222,deuxieme
X,se3mg07,0.473098510415371,5.76488095238095,20.1681547619048,6.93220338983051,7.08205128205128,5.06067625921704,deuxieme
X,se3mg08,0.353188743130706,6.0117728531856,23.2229916897507,6.70602409638554,7.02439024390244,5.93005555955682,deuxieme
N,se3mg10,0.413805389162417,5.58454810495627,18.2857142857143,6.45070422535211,6.27391304347826,5.23672110430808,deuxieme
X,se3mg12,0.263332393476604,5.93174603174603,24.5031746031746,6.6524064171123,6.57004830917874,5.1709828058089,deuxieme
X,se3mg13,0.354146983927989,6.26448598130841,22.9922118380062,6.50207468879668,6.7229862475442,6.00663874221103,deuxieme
X,se3mg14,0.276381698521032,7.4423305588585,33.0356718192628,6.55294117647059,6.33088235294118,5.42408580284489,deuxieme
X,se3mg16,0.348180340505223,6.375,26.3471074380165,6.51153846153846,6.51601423487544,5.43849466282374,deuxieme
X,se3mg19,0.345832318784657,6.34786399302528,27.0945945945946,6.76344086021505,6.91954022988506,6.04649782478995,deuxieme
N,se3mg51,0.372649686519287,5.68982387475538,21.5014677103718,6.34792626728111,5.86129753914989,5.91283884366048,deuxieme
N,se3mg54,0.33895125108347,6.60397268777157,29.1747361887027,6.47352496217852,6.47033285094067,6.3468559783702,deuxieme
N,se3mg55,0.346476581070841,6.48022015823873,26.8689370485036,6.55035971223022,5.97310924369748,6.19620055621019,deuxieme
N,se3mg56,0.429491401745683,5.04513009440479,17.1897306009671,6.52908587257618,6.40185676392573,6.41699876118506,deuxieme
N,se3mg57,0.386407058593577,5.37058674117348,19.1127762255525,6.54428571428571,6.56724367509987,6.41277256157649,deuxieme
N,se3mg58,0.372485509509612,5.68015414258189,22.5576107899807,6.30676328502415,5.84651162790698,5.81484300561115,deuxieme
N,se3mg60,0.388087098031557,6.80244755244755,28.4493006993007,6.38541666666667,5.77615571776156,5.78627379463308,deuxieme
N,se3mj-2,0.360951177000902,5.92181722134179,20.9017432646593,6.45232815964523,6.36458333333333,5.97362602789425,deuxieme
X,se3mj-3,0.318067368186805,7.17900790797987,26.2027318475917,6.66556291390728,6.63914373088685,5.62610964367772,deuxieme
X,se3mj-5,0.334216412159211,6.44757609921082,25.9943630214205,6.63725490196078,6.63595839524517,6.34511345731382,deuxieme
X,se3mj57,0.303945301670584,6.74136715997181,29.1092318534179,6.46525679758308,6.35057471264368,5.76490770892782,deuxieme
X,se3mj58,0.264247656813199,7.41896272285251,32.6401944894652,6.75872093023256,7,5.77645534907843,deuxieme
X,se3mj59,0.400007266785465,6.01702442635085,23.2701702442635,6.56214689265537,6.6968085106383,5.69609534362128,deuxieme
N,se3xx01,0.339663622358385,6.19759341355288,24.65801139962,6.40443213296399,5.86737400530504,5.73450485465929,deuxieme
X,se3xx05,0.27384379140431,8.1332280147446,33.9736703528173,6.67578947368421,7.03646833013436,6.0832215177985,deuxieme
N,se4fs02,0.352406928145837,5.94929840972872,24.5638914873714,6.74691358024691,6.69874879692012,6.77033502097302,deuxieme
N,se4fs03,0.410650622924674,5.25614327363598,18.1516034985423,6.43251088534107,6.30081300813008,6.41186258981998,deuxieme
N,se4fs04,0.437190525572815,5.03583389149364,17.1068318821165,6.2993762993763,6.04873294346979,6.04563548779887,deuxieme
X,se4fs05,0.331598316930954,6.46979865771812,25.2701342281879,6.37414965986395,5.67307692307692,4.84673331998801,deuxieme
X,se4fs08,0.297038528074155,8.5,36.2578125,6.76969696969697,6.41847826086957,5.03688043571397,deuxieme
X,se4fs10,0.362594336980047,5.92459826946848,22.9048207663782,6.65566037735849,6.61085972850679,5.27111791783723,deuxieme
X,se4mg03,0.409486475999475,6.08349514563107,23.0427184466019,6.57746478873239,6.46540880503145,4.95961603729458,deuxieme
X,se4mg04,0.390730479173229,5.54823747680891,19.4925788497217,6.50180505415162,6.24652777777778,5.48122123106526,deuxieme
N,se4mg05,0.375591772970335,5.92132058006788,24.5652576365319,6.6431654676259,6.49006622516556,6.45068307799661,deuxieme
N,se4mg06,0.439032522985202,4.87159792953749,15.4109200200367,6.45454545454545,6.11447368421053,6.42323807143545,deuxieme
N,se4mg07,0.405720946990365,5.83557361675524,21.032197561738,6.49090909090909,6.37195994277539,6.36069369554723,deuxieme
X,se4mg08,0.337428574890168,6.94339622641509,26.9853249475891,6.6085626911315,6.54820936639118,5.70493669481474,deuxieme
N,se4mg09,0.47265375290393,3.93617606602476,10.7526822558459,6.35650224215247,5.98343685300207,6.02748886531726,deuxieme
X,se4mg13,0.31140866761024,6.85969084423306,35.1307966706302,6.7063829787234,6.65217391304348,5.3939748815664,deuxieme
X,se4mg14,0.322898367643435,6.65450861195542,31.9554204660588,6.62773722627737,6.72635135135135,5.51534664192679,deuxieme
N,se4mg15,0.329097266645291,6.3712962962963,27.2898148148148,6.49438202247191,6.08650519031142,5.45933631603974,deuxieme
N,se4mg17,0.362038981370843,5.75043936731107,22.6842413591095,6.53221288515406,6.46276595744681,5.80242435265969,deuxieme
X,se4mg19,0.328902907888528,6.68510158013544,28.9176072234763,6.64102564102564,6.85046728971963,5.17722750276918,deuxieme
X,se4mg20,0.400244762595662,6.43024390243902,22.3463414634146,6.76612903225806,6.79335793357934,5.43539552764143,deuxieme
X,se4mg23,0.357897171369118,6.18592781625957,24.3740430185928,6.59090909090909,6.51142355008787,6.14774140240676,deuxieme
N,se4mg27,0.368891482028346,5.7117675083373,21.3425440686041,6.55449330783939,6.49280575539568,6.13968572426852,deuxieme
N,se4mg29,0.426567841541424,4.76522842639594,14.75,6.33618843683084,6.19803921568627,6.03797973514353,deuxieme
N,se4mg30,0.371964478171297,5.49265750828991,19.9748934154429,6.57511737089202,6.57478632478632,6.00789004129955,deuxieme
N,se4mg33,0.371880555940826,5.91942682640357,22.2905802208128,6.55286624203822,6.40559440559441,6.55118609153498,deuxieme
N,se4mg34,0.299240162324553,7.00250208507089,36.2648040033361,6.60988074957411,6.60380348652932,6.26302813504847,deuxieme
X,se4mj-1,0.388018096864364,6.0539541759054,22.7716186252772,6.6838905775076,6.96246648793566,5.77280431190235,deuxieme
N,se4mj-4,0.292282456005206,7.33970276008493,37.7061571125265,6.63008849557522,6.64412238325282,6.27694845638069,deuxieme
X,se4mj-5,0.399843636795346,5.14955357142857,16.9300595238095,6.64098073555166,6.48401826484018,6.36553296815755,deuxieme
X,se4mj56,0.358648151123665,6.32693461307738,23.8650269946011,6.73015873015873,6.92161520190024,5.83620317931428,deuxieme
N,se4mj57,0.386498595236092,5.82549187339607,21.6703165098375,6.60918367346939,6.65314009661836,6.75807819347424,deuxieme
N,se4mj58,0.472715625748167,4.4510833880499,13.8082731451083,6.45528455284553,6.13054830287206,5.75281725212789,deuxieme
N,se4mj60,0.350934195658235,6.17068645640074,24.6625695732839,6.60822249093108,6.48542600896861,6.61786062242903,deuxieme
